reference sequences,length,mapped,unmapped
CAF20-1P-1,,,
I,230218,72453,0
II,813184,214944,0
III,316620,105020,0
IV,1531933,277052,0
V,576874,191267,0
VI,270161,36844,0
VII,1090940,302866,0
VIII,562643,120575,0
IX,439888,62066,0
X,745751,621370,0
XI,666816,217543,0
XII,1078177,359702,0
XIII,924431,582442,0
XIV,784333,216741,0
XV,1091291,313796,0
XVI,948066,200249,0
Mito,85779,21830,0
*,0,0,30564577
,12157105,3916760,0
CAF20-1P-2,,,
I,230218,349917,0
II,813184,1075886,0
III,316620,598652,0
IV,1531933,1570194,0
V,576874,1140670,0
VI,270161,215687,0
VII,1090940,1746545,0
VIII,562643,656255,0
IX,439888,368235,0
X,745751,4087102,0
XI,666816,1292623,0
XII,1078177,2207360,0
XIII,924431,3781692,0
XIV,784333,1257101,0
XV,1091291,1887499,0
XVI,948066,1161467,0
Mito,85779,65190,0
*,0,0,73099580
CAF20-1P-3,,,
I,230218,109801,0
II,813184,228198,0
III,316620,129849,0
IV,1531933,334211,0
V,576874,234835,0
VI,270161,45378,0
VII,1090940,376945,0
VIII,562643,142781,0
IX,439888,71154,0
X,745751,674623,0
XI,666816,260370,0
XII,1078177,446977,0
XIII,924431,636468,0
XIV,784333,278813,0
XV,1091291,384756,0
XVI,948066,227514,0
Mito,85779,25381,0
*,0,0,49263938
CAF20-Total-1,,,
I,230218,114945,0
II,813184,605371,0
III,316620,205445,0
IV,1531933,431968,0
V,576874,541257,0
VI,270161,69473,0
VII,1090940,535501,0
VIII,562643,231842,0
IX,439888,93495,0
X,745751,615140,0
XI,666816,422038,0
XII,1078177,780784,0
XIII,924431,616329,0
XIV,784333,364293,0
XV,1091291,477086,0
XVI,948066,277910,0
Mito,85779,75483,0
*,0,0,46239957
CAF20-Total-2,,,
I,230218,145856,0
II,813184,777888,0
III,316620,262781,0
IV,1531933,632435,0
V,576874,654163,0
VI,270161,108236,0
VII,1090940,757185,0
VIII,562643,315896,0
IX,439888,148145,0
X,745751,784856,0
XI,666816,584222,0
XII,1078177,1039273,0
XIII,924431,808463,0
XIV,784333,487502,0
XV,1091291,649474,0
XVI,948066,395581,0
Mito,85779,92299,0
*,0,0,65332592
CAF20-Total-3,,,
I,230218,116505,0
II,813184,538539,0
III,316620,184233,0
IV,1531933,538596,0
V,576874,747491,0
VI,270161,91374,0
VII,1090940,619823,0
VIII,562643,266345,0
IX,439888,125321,0
X,745751,530125,0
XI,666816,428880,0
XII,1078177,906288,0
XIII,924431,680384,0
XIV,784333,404497,0
XV,1091291,547984,0
XVI,948066,320069,0
Mito,85779,87131,0
*,0,0,36361222
EAP1-IP-1,,,
I,230218,114555,0
II,813184,449271,0
III,316620,233759,0
IV,1531933,815730,0
V,576874,413440,0
