1,2A,2B,2C,3A,3B
YAL013W,YBR016W,YAL002W,YAL003W,YAL017W,YAL016W
YAL029C,YBR061C,YAL007C,YAL005C,YAL021C,YAR002W
YAL056W,YBR086C,YAL014C,YAL012W,YAL031C,YAR007C
YAL059W,YBR101C,YAL015C,YAL023C,YAL032C,YAR015W
YBL014C,YBR108W,YAL020C,YAL036C,YAL035W,YBL007C
YBL017C,YBR154C,YAL030W,YAL049C,YAL041W,YBL022C
YBL059W,YBR171W,YAL033W,YAL053W,YAL043C,YBL039C
YBL067C,YBR264C,YAL034C,YAR002C-A,YAL048C,YBL042C
YBL090W,YDL007W,YAL038W,YBL030C,YAL051W,YBL068W
YBR002C,YDR098C,YAL040C,YBL032W,YAL058W,YBL076C
YBR009C,YDR267C,YAL044C,YBL040C,YAR014C,YBR023C
YBR044C,YEL024W,YAL044W-A,YBL045C,YAR018C,YBR039W
YBR071W,YER012W,YAL046C,YBL050W,YAR019C,YBR046C
YBR091C,YGL027C,YAL060W,YBL057C,YAR042W,YBR058C
YBR104W,YGL111W,YAL061W,YBL082C,YBL004W,YBR080C
YBR114W,YGL181W,YAR003W,YBL099W,YBL008W,YBR084W
YBR122C,YGL231C,YAR028W,YBR011C,YBL016W,YBR087W
YBR158W,YGL242C,YBL001C,YBR015C,YBL023C,YBR088C
YBR203W,YGR021W,YBL002W,YBR026C,YBL024W,YBR115C
YBR223C,YGR026W,YBL003C,YBR035C,YBL033C,YBR121C
YBR237W,YGR082W,YBL006C,YBR041W,YBL037W,YBR127C
YBR282W,YGR149W,YBL018C,YBR053C,YBL038W,YBR143C
YBR295W,YGR157W,YBL026W,YBR056W,YBL061C,YBR160W
YCR008W,YGR161C,YBL027W,YBR069C,YBL066C,YBR166C
YCR027C,YGR207C,YBL036C,YBR078W,YBL069W,YBR218C
YCR095C,YHR133C,YBL041W,YBR092C,YBL079W,YBR248C
YDL033C,YHR148W,YBL056W,YBR096W,YBL084C,YBR249C
YDL035C,YHR200W,YBL064C,YBR118W,YBL085W,YBR273C
YDL048C,YIL044C,YBL072C,YBR139W,YBL088C,YBR288C
YDL080C,YJL014W,YBL087C,YBR149W,YBL093C,YCL017C
YDL111C,YJL070C,YBL091C,YBR159W,YBL095W,YCL028W
YDL167C,YJL111W,YBL092W,YBR177C,YBL101C,YCL030C
YDL175C,YJL124C,YBL102W,YBR181C,YBL104C,YCL045C
YDL194W,YJL145W,YBR004C,YBR196C,YBL105C,YCL057W
YDR033W,YJL172W,YBR005W,YBR199W,YBL106C,YCL059C
YDR041W,YJL178C,YBR006W,YBR221C,YBR001C,YCL064C
YDR043C,YJR008W,YBR008C,YBR222C,YBR034C,YCR002C
YDR054C,YJR117W,YBR010W,YBR234C,YBR037C,YCR037C
YDR107C,YJR126C,YBR025C,YBR243C,YBR038W,YCR053W
YDR116C,YJR142W,YBR031W,YBR246W,YBR049C,YCR067C
YDR143C,YKL034W,YBR036C,YBR256C,YBR055C,YCR069W
YDR145W,YKL094W,YBR043C,YBR263W,YBR059C,YCR088W
YDR170C,YKR092C,YBR048W,YBR265W,YBR065C,YDL014W
YDR184C,YLR018C,YBR052C,YBR283C,YBR073W,YDL040C
YDR197W,YLR052W,YBR054W,YBR286W,YBR079C,YDL042C
YDR207C,YLR194C,YBR056W-A,YCL043C,YBR081C,YDL095W
YDR222W,YLR207W,YBR058C-A,YCL050C,YBR083W,YDL097C
YDR247W,YML010W,YBR062C,YCR004C,YBR094W,YDL103C
YDR249C,YML074C,YBR067C,YCR012W,YBR097W,YDL131W
YDR265W,YML105C,YBR068C,YCR017C,YBR103W,YDL134C
YDR329C,YML129C,YBR070C,YCR034W,YBR112C,YDL141W
YDR331W,YMR002W,YBR072W,YDL015C,YBR133C,YDL143W
YDR334W,YMR200W,YBR077C,YDL022W,YBR140C,YDL145C
YDR347W,YMR266W,YBR082C,YDL029W,YBR142W,YDL150W
YDR350C,YNL016W,YBR084C-A,YDL051W,YBR146W,YDL164C
YDR371W,YNL036W,YBR085C-A,YDL052C,YBR150C,YDL168W
YDR392W,YNL064C,YBR089C-A,YDL054C,YBR170C,YDL171C
YDR409W,YNL121C,YBR106W,YDL055C,YBR172C,YDL182W
YDR411C,YNL247W,YBR109C,YDL078C,YBR195C,YDL185W
YDR423C,YNL323W,YBR111C,YDL082W,YBR198C,YDL193W
YDR524C,YOL077C,YBR135W,YDL084W,YBR202W,YDL201W
YEL007W,YOR209C,YBR137W,YDL100C,YBR208C,YDR019C
YEL025C,YOR239W,YBR145W,YDL124W,YBR211C,YDR035W
YEL046C,YOR243C,YBR151W,YDL126C,YBR214W,YDR036C
YEL062W,YOR276W,YBR162C,YDL128W,YBR216C,YDR037W
YER005W,YOR286W,YBR162W-A,YDL135C,YBR225W,YDR051C
YER035W,YPL053C,YBR164C,YDL137W,YBR245C,YDR091C
YER061C,YPL063W,YBR169C,YDL165W,YBR251W,YDR093W
YER130C,YPL239W,YBR173C,YDL174C,YBR260C,YDR101C
YER158C,YPR016C,YBR175W,YDL188C,YBR267W,YDR120C
YER159C,YPR091C,YBR187W,YDL192W,YBR275C,YDR127W
YER170W,YPR171W,YBR189W,YDL212W,YBR280C,YDR129C
YER176W,YPR172W,YBR191W,YDL217C,YBR289W,YDR135C
YER182W,YDR077W,YBR197C,YDL229W,YCL008C,YDR148C
YFL004W,YDR462W,YBR201W,YDL236W,YCL014W,YDR177W
